,prompt_hash,prompt_id_unique,participant_a_prompt_text,participant_b_prompt_text,ipc_a,ipc_b,interaction_type
47,00000049,P0088_v3.5.fam_AMCM_XXXX,Your partner will tell you about a time they felt overwhelmed. Ask them follow-up questions to understand their thought process and how they felt during that time.,Think of a time when you felt overwhelmed by a situation and needed some space. Describe to your partner what was happening and how you handled it. Explain why you felt the need to withdraw from the situation.,AMCM,,ipc_conversation
1177,00001177,P0187_v3.1.5.RP_AMCM_APCM,"(Sullen): As the supervisor, deliver the feedback with a somber and disapproving tone, conveying a sense of disappointment and frustration with the employee's performance. Speak in a low, measured tone, avoiding any expression of enthusiasm or optimism. Maintain a serious and unyielding demeanor, focusing on the employee's shortcomings rather than their strengths.","(Arrogant): As the employee, receive the feedback with a haughty and dismissive attitude, implying that the supervisor's concerns are unfounded or insignificant. Speak in a condescending tone, using phrases that suggest you're already aware of your own strengths and weaknesses, and that the supervisor's feedback is unnecessary or unhelpful. Display a sense of superiority, as if you're humoring the supervisor rather than taking their feedback seriously.",AMCM,APCM,ipc_conversation
1182,00001182,P5538_v3.1.5.RP_AMCM_AMCN,"(Shy): As the community member, approach the conversation with a hesitant and reserved demeanor. Speak softly and avoid direct eye contact, as if unsure of yourself or the opportunities being discussed. Show genuine interest in volunteering, but express your thoughts and feelings in a tentative and uncertain manner.","(Inconsistent): As the nonprofit representative, respond to the community member's inquiries with a tone that shifts unpredictably between enthusiasm and detachment. At times, show excitement and eagerness to share information about the volunteer opportunities, but then suddenly become distracted or dismissive, leaving the community member unsure of how to proceed. Switch between a warm and welcoming smile to a more serious and bureaucratic expression, creating an unpredictable dynamic in the conversation.",AMCM,AMCN,ipc_conversation
393,00000402,P0095_v3.5.str_AMCM_XXXX,Tell your partner about a time when you encountered a policy or rule that seemed inflexible or unyielding. Explain how it affected you and why you think it was impersonal.,Your partner will share a story about a frustrating experience with a policy or rule. Ask them to elaborate on how it made them feel and discuss potential alternatives that might have been more considerate.,AMCM,,ipc_conversation
840,00000842,RP1.5_AMCM_AMCM,"Scenario: Recovery: Two people with similar diagnoses discuss their experiences and roads to recovery.
(Empathetic): As the listener, maintain a gentle, non-judgmental expression, nodding thoughtfully to show you're engaged in the conversation. Speak softly and calmly, allowing the other person to share their story without interruption. Your tone conveys understanding and support.","Scenario: Recovery: Two people with similar diagnoses discuss their experiences and roads to recovery.
(Honest): As the sharer, speak clearly and directly, using a straightforward, matter-of-fact tone. Your body language is open and relaxed, conveying a sense of vulnerability and openness. Your words are authentic and unvarnished, sharing your true experiences and feelings.",AMCM,AMCM,ipc_conversation
947,00000949,RP0.0_AMCM_AMCM,"Scenario: Brainstorming: Coworkers discuss how to improve their presentation for an upcoming meeting.
(Inhibited): As the coworker, speak in a hesitant and self-effacing tone, occasionally glancing at notes or avoiding eye contact with the group. Your words should be laced with uncertainty, as if you're not entirely sure what to contribute to the discussion. Avoid taking charge or offering solutions.","Scenario: Brainstorming: Coworkers discuss how to improve their presentation for an upcoming meeting.
(Taciturn): As the coworker, sit back in your chair and maintain a neutral expression, observing the discussion without interjecting. Your tone should be matter-of-fact and unenthusiastic, as if you're merely going through the motions of participating in the brainstorming session.",AMCM,AMCM,ipc_conversation
920,00000922,RP3.4_AMCN_AMCM,"Scenario: Parent-teacher: A teacher and parent discuss a student’s progress at a parent-teacher conference.
(Unaggressive): As the teacher, approach the parent with a neutral tone, neither being overly enthusiastic nor confrontational. Speak in a calm, measured pace, focusing on conveying the student's progress in a matter-of-fact way.","Scenario: Parent-teacher: A teacher and parent discuss a student’s progress at a parent-teacher conference.
(Shy): As the parent, enter the conversation with a hesitant tone, fidgeting slightly with your hands. Speak in a soft, tentative voice, occasionally glancing at the teacher for reassurance before articulating your questions or concerns.",AMCN,AMCM,ipc_conversation
932,00000934,RP3.1_AMCN_AMCP,"Scenario: Negotiation: A small business owner negotiates scheduling and bulk discounts with a vendor.
(Indecisive): As the small business owner, convey a sense of hesitation and uncertainty, vacillating between wanting to secure a good deal and being unsure of the terms. Speak in a measured tone, pausing frequently to collect thoughts before responding. Your body language should convey a sense of unease and self-doubt.","Scenario: Negotiation: A small business owner negotiates scheduling and bulk discounts with a vendor.
(Polite): As the vendor, maintain a friendly and accommodating demeanor, using phrases like ""I'd be happy to help"" and ""Let me see what I can do."" Speak in a warm and conciliatory tone, actively listening to the small business owner's concerns and responding with empathy. Your tone should be collaborative and solution-focused.",AMCN,AMCP,ipc_conversation
1123,00001123,P5625_v3.0.7.RP_AMCN_AMCP,"(Unfocused): As the driver, recount the events leading up to the accident in a disjointed and scattered manner, struggling to maintain a clear train of thought. Your words may trail off or you may get sidetracked by minor details, giving the impression that you're still trying to process what happened. Speak in a slightly dazed tone, as if you're still shaken by the accident.","(Uncalculating): As the police officer, listen to the driver's account with a neutral and non-judgmental expression, avoiding any hint of skepticism or accusation. Ask questions in a straightforward and matter-of-fact way, focusing on gathering facts rather than trying to catch the driver in a contradiction or assign blame. Maintain a calm and professional demeanor, prioritizing clarity and accuracy over any emotional response.",AMCN,AMCP,ipc_conversation
1124,00001124,P0601_v3.0.3.RP_AMCN_ANCM,"(Inconsistent): As the employee, express your concerns about the policy in a way that is sometimes passionate and sometimes hesitant. Switch between being clear and direct about your grievances and being uncertain and wavering in your demands. This inconsistency should make it difficult for the HR rep to fully understand your position or take you seriously.","(Cruel): As the HR representative, respond to the employee's complaint with a dismissive and unsympathetic tone. Use a cold, detached demeanor to make the employee feel unimportant and unvalued. Make it clear that you are not interested in listening to their concerns or exploring possible solutions, and that the policy is not up for discussion or debate.",AMCN,ANCM,ipc_conversation
39,00000041,P0025_v3.1.str_AMCN_XXXX,"Discuss a task or project that you've been putting off for a while. What's holding you back from starting or completing it, and how do you plan to overcome your procrastination?","Your partner will talk about a task they've been putting off. Offer suggestions or advice on how they might get started, and share a strategy that has worked for you in a similar situation.",AMCN,,ipc_conversation
54,00000057,P0000_v3.0.str_AMCN_XXXX,"Your partner will talk about a task they've been procrastinating on. Share a time when you faced a similar challenge and how you overcame it, and offer advice on how they might get started.","Discuss a task or project that you've been putting off for a while. What's holding you back from tackling it, and what strategies do you think might help you regain momentum?",AMCN,,ipc_conversation
847,00000849,P0012_DP_AMCP_APCN,"Ask you Partner the question:  ""Describe something that happened recently that made you feel extremely proud.""  Acknowledge their success, but try to subtly take some credit for it. Maybe it was some advice you gave them, or maybe you did something that made it possible.",Your Partner is going to ask you to describe something that happened recently that made you feel extremely proud.,AMCP,APCN,ipc_conversation
851,00000853,RP2.4_AMCP_AMCM,"Scenario: Coping: A therapist helps a patient explore coping strategies for managing negative emotions.
(Humble): As the therapist, maintain a gentle and non-judgmental demeanor as you guide the patient through the exploration of their emotions. Use a soft-spoken tone and empathetic language to create a safe space for the patient to open up. Your body language should convey a sense of calm and understanding.","Scenario: Coping: A therapist helps a patient explore coping strategies for managing negative emotions.
(Impersonal): As the patient, express a sense of emotional numbness and detachment as you describe your negative emotions. Use a flat tone and avoid showing any emotional response, as if you're simply recounting facts. Your body language should convey a sense of disconnection and disinterest.",AMCP,AMCM,ipc_conversation
919,00000921,RP3.4_AMCP_ANCP,"Scenario: Symptoms: A patient discusses symptoms with their healthcare provider during a routine check-up.
(Unargumentative): As the patient, express your symptoms in a matter-of-fact way, without dwelling on the details or expressing strong emotions. Speak in a neutral tone, as if simply stating a fact. Allow the healthcare provider to guide the conversation and take the lead in assessing your symptoms.","Scenario: Symptoms: A patient discusses symptoms with their healthcare provider during a routine check-up.
(Tenderhearted): As the healthcare provider, listen attentively to the patient's symptoms with empathy and concern. Respond with warmth and kindness, asking gentle questions to understand the patient's concerns and offering reassurance without dismissing their worries. Maintain a calm and compassionate demeanor throughout the conversation.",AMCP,ANCP,ipc_conversation
